Brand:,Model:,Trim / Edition:,Year of Manufacture:,Registration year:,Condition:,Transmission:,Body type:,Fuel type:,Engine capacity:,Kilometers run:,Price
Toyota,Corolla,X ASSISTA,2000,2005,Used,Automatic,Saloon,Octane,"1,300 cc","280,000 km","1,050,000"
Toyota,Premio,G.Green.Selection,2012,2023,Used,Automatic,Saloon,"Petrol, Octane","1,500 cc","37,000 km","2,650,000"
Isuzu,Other Model,ISUZU HTS 11G 16.TON,2008,,Used,Manual,,Diesel,"4,500 cc","32,600 km","1,199,000"
Toyota,Corolla,,2005,2008,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","100,000 km","1,135,000"
Toyota,Vitz,.,2001,2006,Used,Automatic,Hatchback,Petrol,"1,000 cc","50,000 km","550,000"
Toyota,Hiace,,2010,2015,Used,Automatic,MPV,"CNG, Octane","2,000 cc","110,890 km","2,000,000"
Mitsubishi,Pajero,black color,2007,2007,Used,Manual,SUV / 4x4,"CNG, Octane","2,350 cc","82,550 km","1,430,000"
Toyota,Fielder,2011,2011,2017,Used,Automatic,Estate,Octane,"1,500 cc","65,000 km","1,565,000"
BMW,7 Series,730li,2016,2017,Used,Automatic,Saloon,Octane,"2,000 cc","27,000 km","15,000,000"
Toyota,Fielder,super condition,2012,2014,Used,Automatic,Hatchback,"CNG, Octane","1,500 cc","96,000 km","1,430,000"
Toyota,Probox,Gl,2003,2007,Used,Automatic,Hatchback,"CNG, Octane","1,500 cc","58,000 km","685,000"
Toyota,Vitz,jewela,2011,2016,Used,Automatic,Saloon,Octane,"1,331 cc","79,000 km","1,080,000"
Toyota,Esquire,GI Premium Pearl,2018,,Reconditioned,Automatic,MPV,"Petrol, Hybrid, Octane","1,800 cc","36,053 km","3,800,000"
Nissan,X-Trail,2/4 WD,2012,2016,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","70,000 km","2,275,000"
Toyota,Premio,F-EX Package Black,2019,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","12,950 km","4,150,000"
Toyota,Harrier,PROGRESS 5.0 BLACK,2017,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","2,500 cc","38,602 km","7,180,000"
Toyota,C-HR,G-LED,2018,2023,Used,Automatic,SUV / 4x4,Hybrid,"1,800 cc","39,000 km","2,900,000"
Toyota,Corona,.,1994,1994,Used,Automatic,Saloon,"Octane, LPG","1,600 cc","100,000 km","350,000"
Toyota,Corolla Cross,Z HYBRID,2023,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,800 cc",7 km,"6,100,000"
Nissan,X-Trail,x Hybrid,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","2,000 cc","51,910 km","4,100,000"
Toyota,Fielder,WXB HYBRID,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,500 cc","86,832 km","2,950,000"
Toyota,Axio,X Hybrid White,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","53,602 km","2,400,000"
Honda,Grace,EX PKG hibrid,2017,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","63,000 km","2,750,000"
Toyota,C-HR,G-LED HYBRID,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,800 cc","59,861 km","3,550,000"
Toyota,Prius,S-TOURING,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,800 cc","27,000 km","3,030,000"
Toyota,Axio,X NON HYBRID,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","101,000 km","2,580,000"
Toyota,Axio,Fielder,2010,2016,Used,Automatic,Hatchback,"CNG, Octane","1,500 cc","61,000 km","1,610,000"
Toyota,Axio,X NON HYBRID,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","47,858 km","2,580,000"
Toyota,Fielder,"W-XB, WINE RED",2018,,Reconditioned,Automatic,Estate,Hybrid,"1,500 cc","100,000 km","2,775,000"
Toyota,Prius,S Safety Plus,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,800 cc","52,000 km","2,850,000"
Toyota,Fielder,WXB HYBRID,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,500 cc","45,060 km","2,830,000"
Toyota,Prius,S Safety. Trd,2018,,Reconditioned,Automatic,Estate,Hybrid,"1,800 cc","70,000 km","2,970,000"
Toyota,Esquire,GI  PREMIUM HYBRID,2018,,Reconditioned,Automatic,MPV,"Petrol, Hybrid, Octane","1,800 cc","42,000 km","3,820,000"
Toyota,Voxy,ZX,2018,,Reconditioned,Automatic,MPV,Hybrid,"1,800 cc","49,854 km","3,400,000"
Toyota,Aqua,S Style Push Start,2014,2021,Used,Automatic,Hatchback,"Hybrid, Octane","1,496 cc","96,362 km","1,490,000"
Nissan,Sunny,.,2004,2009,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","80,000 km","580,000"
Toyota,Voxy,HYBRID READY SHOWROM,2018,,Reconditioned,Automatic,Hatchback,Hybrid,"1,800 cc","65,200 km","3,050,000"
Toyota,Avanza,.,2008,2009,Used,Automatic,MPV,"CNG, Octane","1,781 cc","65,000 km","965,000"
Toyota,Allion,A-15,2003,2008,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","83,000 km","1,390,000"
Toyota,Esquire,NON HYBRID,2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","1,800 cc","56,000 km","3,800,000"
Toyota,Esquire,GI Premium Purple,2020,,Reconditioned,Automatic,MPV,"Hybrid, Octane","1,800 cc","43,215 km","4,200,000"
Toyota,Noah,G PUSH HYBRID,2018,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,800 cc","56,200 km","3,200,000"
Toyota,Axio,G Fielder,2013,2021,Used,Automatic,Estate,"Hybrid, Octane","1,500 cc","54,000 km","1,590,000"
Toyota,Aqua,HYBRID,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,500 cc","65,200 km","2,000,000"
Toyota,Premio,F-EX,2020,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","24,000 km","4,380,000"
Toyota,Prius,ALFHA.7SEAT.PUSH.,2019,2020,Used,Automatic,Hatchback,"Hybrid, Octane","1,800 cc","31,000 km","3,380,000"
Mercedes-Benz,S-Class,S 320,2001,2003,Used,Automatic,Saloon,Octane,"3,200 cc","23,500 km","2,450,000"
Toyota,Noah,"Non Hybrid , Black",2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","42,154 km","3,599,000"
Toyota,Prado,Tx-L.Over.Fresh.,2014,2019,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","32,000 km","9,800,000"
Toyota,Prius,S-SAFETY PLUS HYBRID,2018,,Reconditioned,Automatic,Estate,"Hybrid, Octane","1,800 cc","41,444 km","2,910,000"
Toyota,Aqua,READY STOCK,2018,,Reconditioned,Automatic,Hatchback,"Hybrid, Octane","1,500 cc","64,567 km","1,850,000"
Mitsubishi,Pajero,V93W,2018,2019,Used,Automatic,SUV / 4x4,"Petrol, Octane","3,000 cc","12,025 km","10,700,000"
Nissan,Dualis,.,2007,2013,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","68,000 km","1,500,000"
Toyota,Mark II,all pawar,1992,1998,Used,Manual,Saloon,"Petrol, CNG","1,900 cc","120,000 km","290,000"
Mitsubishi,Galant,"octon peper, sunroof",2003,2005,Used,Automatic,Saloon,"Petrol, CNG","1,600 cc","120,000 km","520,000"
Toyota,Hiace,GL DUAL A/C,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Octane","2,000 cc","54,200 km","2,800,000"
Toyota,Hiace,GL - Dual A/C,2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","65,860 km","2,860,000"
Toyota,Hiace,GL - Dual A/C,2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","65,200 km","2,850,000"
Toyota,Corolla,x,2004,2008,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","54,633 km","1,235,000"
Toyota,Platz,SUPER FRESH,2000,2003,Used,Automatic,Saloon,Octane,"1,000 cc","65,231 km","635,000"
Land Rover,Defender,S edition,1999,2000,Used,Manual,SUV / 4x4,Diesel,"3,000 cc","100,000 km","2,600,000"
Toyota,Corolla,,2000,2000,Used,Automatic,Saloon,"CNG, Octane","1,300 cc","100,000 km","520,000"
Toyota,Axio,SUPER FRESH,2010,2016,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","55,623 km","1,430,000"
