Brand:,Model:,Trim / Edition:,Year of Manufacture:,Registration year:,Condition:,Transmission:,Body type:,Fuel type:,Engine capacity:,Kilometers run:,Price
Toyota,Premio,.,2020,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","17,000 km","4,350,000"
Toyota,Premio,.,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","45,000 km","3,680,000"
Toyota,Premio,,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","55,000 km","3,650,000"
Toyota,Allion,,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","30,000 km","3,580,000"
Toyota,C-HR,,2017,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,800 cc","29,000 km","3,150,000"
Toyota,Axio,,2017,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","59,000 km","2,400,000"
Toyota,Premio,,2019,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","23,000 km","3,850,000"
Toyota,Allion,Key start,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","10,000 km","3,300,000"
Toyota,Corolla,G,2005,2010,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","2,010 km","1,360,000"
Toyota,2000GT,Hellcat,2000,2000,Used,Automatic,Saloon,"Octane, LPG","1,580 cc","20,000 km","640,000"
Toyota,Mark II,gx110,2001,2001,Used,Manual,Saloon,Octane,"2,000 cc","60,000 km","1,400,000"
Honda,Grace,Ex PKG 2015 Modulo,2015,2020,Used,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","85,000 km","1,950,000"
Toyota,Corolla Cross,Z PKG,2021,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,800 cc","17,000 km","5,800,000"
Nissan,Caravan,Nissan Ambulance,2003,2008,Used,Automatic,MPV,CNG,"2,000 cc","450,000 km","410,000"
Toyota,Axio,Toyota 2016 Axio,2016,2022,Used,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","70,103 km","1,350,000"
Toyota,Land Cruiser,V8.SUPER.FRESH.,2016,2017,Used,Automatic,SUV / 4x4,Diesel,"4,500 cc","35,000 km","21,000,000"
Honda,Grace,EX hybrid,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Electric","1,500 cc","34,682 km","2,589,000"
Toyota,Prius,S TOURING ZVW51,2019,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","47,000 km","3,680,000"
Toyota,Yaris Cross,Z PKG BRAND NEW,2023,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"1,500 cc",600 km,"5,200,000"
Toyota,Premio,FL PKG,2019,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","36,548 km","3,250,000"
Toyota,Corolla,WXB,2020,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","26,000 km","3,700,000"
Toyota,Prado,8Seat.Sunroof.Tx-L,2007,2009,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","61,000 km","4,300,000"
Toyota,Fielder,wxb hybrid,2018,2018,Reconditioned,Automatic,Estate,"Petrol, Hybrid, Octane","1,500 cc","28,368 km","2,550,000"
Toyota,Fielder,.,2011,2017,Used,Automatic,Estate,"Petrol, CNG","1,500 cc","67,000 km","1,450,000"
Toyota,Prado,7Seat.Sunroof.Tx-L,2017,2019,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","32,000 km","14,300,000"
Toyota,Vista,Red,2012,2017,Used,Automatic,Hatchback,Octane,"1,329 cc","74,700 km","1,320,000"
Toyota,Axio,X hybrid,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","32,587 km","2,250,000"
Toyota,Prado,Tx-L.Auto.Wing.,2015,2016,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","31,000 km","10,800,000"
Toyota,Premio,FEX PKG,2011,2014,Used,Automatic,Saloon,Octane,"1,500 cc","56,980 km","2,345,000"
Toyota,Prado,Tx-L.Limited.,2012,2019,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","50,805 km","8,200,000"
Honda,Vezel,Fresh condition,2015,2018,Used,Automatic,Hatchback,"Hybrid, Octane","1,500 cc","47,800 km","2,150,000"
Toyota,Prado,Tx-L.Sunroof.,2013,2015,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","46,000 km","8,650,000"
Toyota,Prado,Tx-L.Sunroof.,2011,2014,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","61,000 km","7,200,000"
Toyota,Axio,Fresh condition,2012,2018,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","53,700 km","1,595,000"
Toyota,Premio,FEX PKG,2016,2016,Used,Automatic,Saloon,Octane,"1,500 cc","53,700 km","2,795,000"
Toyota,Corolla,110,1995,2003,Used,Automatic,Saloon,"Petrol, CNG, Octane","1,500 cc","150,000 km","380,000"
Toyota,Corolla,১১০,1998,2003,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","98,000 km","545,000"
Toyota,Prado,Land Cruiser Tx-L,2016,2017,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","43,000 km","11,600,000"
Toyota,C-HR,Fresh condition,2017,2021,Used,Automatic,Hatchback,"Hybrid, Octane","1,800 cc","53,700 km","2,990,000"
Toyota,Axio,silver,2011,2016,Used,Automatic,Saloon,Octane,"1,500 cc","69,000 km","1,490,000"
Toyota,Axio,x,2007,2010,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","90,000 km","1,250,000"
Toyota,Passo,SETTE,2010,2013,Used,Automatic,Hatchback,"CNG, Octane","1,500 cc","72,000 km","1,450,000"
Toyota,Corolla,.,1996,1998,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","98,000 km","220,000"
Toyota,Corolla,golden,1992,1992,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","75,000 km","300,000"
Toyota,C-HR,সিএসআর,2017,2020,Used,Automatic,SUV / 4x4,"Hybrid, Octane","2,000 cc","56,000 km","2,935,000"
Mitsubishi,Pajero,V-93 Diesel,2011,2011,Used,Automatic,SUV / 4x4,Diesel,"3,200 cc","56,900 km","5,495,000"
Toyota,Noah,নোহা,2011,2016,Used,Automatic,MPV,"CNG, Octane","2,000 cc","98,000 km","1,940,000"
Other brand,Other model,Car for sell,1993,2023,Used,Automatic,,Petrol,"1,500 cc","50,000 km","350,000"
Toyota,Allion,এলিয়ন,2002,2007,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","95,000 km","1,120,000"
Toyota,Platz,টয়টা প্লাস,2000,2005,Used,Automatic,Saloon,"Octane, LPG","1,000 cc","68,000 km","640,000"
Toyota,Prado,Tx-L.Unregistered.,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","28,000 km","16,300,000"
Toyota,Allion,push start,2008,2010,Used,Automatic,Saloon,Octane,"1,500 cc","75,000 km","1,890,000"
Toyota,Harrier,Premium Package,2016,2022,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,000 cc","28,000 km","6,250,000"
Toyota,Axio,একজিও কার,2013,2017,Used,Automatic,Saloon,Octane,"1,500 cc","68,000 km","1,645,000"
Toyota,Corona,,1998,,Used,Automatic,,Petrol,"1,591 cc","150,000 km","210,000"
Toyota,Esquire,2015 Esquire Hybrid,2015,2021,Used,Automatic,MPV,Octane,"2,000 cc","56,000 km","2,750,000"
Toyota,Premio,push start,2020,2022,Used,Automatic,Saloon,Octane,"1,500 cc","9,607 km","4,150,000"
Toyota,Noah,push start,2013,2017,Used,Automatic,MPV,"CNG, Octane","2,000 cc","85,000 km","2,380,000"
Toyota,C-HR,G-Led,2017,2022,Used,Automatic,Hatchback,"Hybrid, Octane","1,800 cc","62,000 km","2,889,000"
Toyota,Vitz,push start,2011,2015,Used,Automatic,Hatchback,Octane,"1,000 cc","68,000 km","1,250,000"
Toyota,Corolla,X Corolla,2003,2007,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","96,000 km","1,020,000"
Toyota,ist,,2004,2009,Used,Automatic,Hatchback,Octane,"1,500 cc","89,285 km","950,000"
Toyota,Corolla,,2003,1999,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","10,000 km","400,000"
Nissan,X-Trail,BANK LONE,2016,2021,Used,Automatic,SUV / 4x4,"Hybrid, Octane, LPG","2,000 cc","75,000 km","1,650,000"
Toyota,Noah,kr42,2006,2012,Used,Automatic,MPV,"CNG, Octane","2,000 cc","98,000 km","890,000"
BMW,X5,Fresh like new,2014,2021,Used,Automatic,SUV / 4x4,Octane,"2,979 cc","58,000 km","8,500,000"
Toyota,Axio,.,2013,2018,Used,Automatic,Estate,"CNG, Octane","1,500 cc","66,000 km","1,660,000"
Toyota,Corolla,corrolla 111,2000,2004,Used,Automatic,Saloon,"CNG, Octane","1,331 cc","91,860 km","565,000"
Honda,CR-V,G,2012,2016,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","50,200 km","2,850,000"
Toyota,Hiace,SUPER GL PEARL,2019,,Reconditioned,Automatic,,"Petrol, Octane","2,000 cc","49,587 km","3,800,000"
Toyota,Starlet,.,1996,2002,Used,Manual,Saloon,"CNG, Octane","1,330 cc","500,000 km","320,000"
Toyota,Esquire,GI HYBRID PEARL,2018,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","1,800 cc","28,664 km","3,350,000"
Toyota,Esquire,GI PREMIUM PEARL,2019,,Reconditioned,Automatic,,"Petrol, Hybrid, Octane","1,800 cc","26,123 km","4,000,000"
Toyota,Axio,G LED PUSH OCTANE,2019,,Reconditioned,Automatic,Saloon,Octane,"1,500 cc","26,000 km","3,070,000"
Mitsubishi,Pajero,V93.MONTERO.,2007,2008,Used,Automatic,SUV / 4x4,"Petrol, Octane","3,000 cc","72,000 km","3,000,000"
Toyota,Axio,X,2007,2012,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","78,000 km","1,320,000"
Honda,Insight,.,2012,2013,Used,Automatic,Hatchback,"Hybrid, Octane","1,339 cc","34,940 km","1,400,000"
Mitsubishi,Pajero,V93.Rockford.,2006,2009,Used,Automatic,SUV / 4x4,"Petrol, Octane","3,000 cc","68,000 km","4,200,000"
Toyota,Axio,G Push Super Fresh,2010,2016,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","69,000 km","1,590,000"
Toyota,Fielder,x-filder,2003,2010,Used,Automatic,Estate,"CNG, Octane","1,500 cc","123,000 km","1,070,000"
Toyota,Starlet Soleil,.,1996,2023,Used,Automatic,Hatchback,"Octane, LPG","1,800 cc","11,111 km","290,000"
Toyota,ist,octane drive,2004,2009,Used,Automatic,Hatchback,Octane,"1,300 cc","75,421 km","900,000"
Toyota,Corolla,x,2004,2010,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","98,000 km","1,080,000"
Toyota,Axio,,2010,2013,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","87,000 km","1,365,000"
Toyota,Corolla,white,2001,2005,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","98,000 km","830,000"
Toyota,Axio,X Super Condition,2008,2014,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","77,000 km","1,380,000"
Toyota,C-HR,G-LED Hybrid,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,800 cc","74,654 km","3,500,000"
Toyota,RAV4,L.Package.,2002,2008,Used,Automatic,SUV / 4x4,"Octane, LPG","1,800 cc","78,000 km","1,250,000"
Toyota,Prado,TX,2014,,Used,Manual,SUV / 4x4,Diesel,"3,000 cc","32,154 km","7,950,000"
Toyota,Corolla Cross,Z Leather Hybrid,2021,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,800 cc","14,000 km","6,000,000"
Toyota,Fielder,G edition,2016,2021,Used,Automatic,Estate,"Petrol, Octane","1,500 cc","70,000 km","2,390,000"
Toyota,Fielder,Hybrid G PUSH,2018,,Reconditioned,Automatic,Hatchback,"Hybrid, Octane","1,500 cc","45,643 km","2,500,000"
Toyota,Premio,Fex.Package.,2015,2020,Used,Automatic,Saloon,"Petrol, Octane","1,500 cc","33,000 km","3,000,000"
Honda,Greiz,G,2015,2021,Used,Automatic,Saloon,Octane,"1,500 cc","57,600 km","1,850,000"
Toyota,Aqua,S Style Push Start,2014,2021,Used,Automatic,Hatchback,"Hybrid, Octane","1,496 cc","96,362 km","1,490,000"
Toyota,Corolla,.,1992,1998,Used,Automatic,Saloon,"CNG, Octane","1,331 cc","148,000 km","460,000"
Toyota,Harrier,Non Hybrid Premium,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Octane","2,000 cc","33,000 km","7,700,000"
Toyota,Prius,s safty,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,800 cc","62,134 km","3,050,000"
Toyota,Vitz,.,2002,2008,Used,Automatic,Hatchback,"CNG, Octane","1,000 cc","87,000 km","610,000"
Toyota,Axio,G.Push.,2007,2013,Used,Automatic,Saloon,"Petrol, CNG, Octane","1,500 cc","73,000 km","1,250,000"
Toyota,Vitz,,2002,2008,Used,Automatic,Hatchback,"CNG, Octane","1,000 cc","98,000 km","530,000"
Honda,Accord,,2022,2023,Used,Automatic,Saloon,"Hybrid, Octane","2,000 cc","1,700 km","6,980,000"
Toyota,Mark X,,2012,2017,Used,Automatic,Saloon,Octane,"2,500 cc","53,000 km","4,790,000"
Toyota,Passo,***WHITE COOR***,2010,2015,Used,Automatic,Estate,Octane,"1,000 cc","36,528 km","890,000"
Hyundai,Sonata,,2011,2011,Used,Automatic,Saloon,Octane,"2,000 cc","60,130 km","1,880,000"
Toyota,Aqua,G,2014,2019,Used,Automatic,Saloon,Octane,"1,500 cc","49,100 km","1,430,000"
Haval,H6,,2022,2022,Used,Automatic,SUV / 4x4,Octane,"1,500 cc","14,200 km","5,050,000"
Toyota,Corolla,G 40th anniversary,2006,2008,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","80,000 km","1,269,000"
Toyota,Hiace,GL,2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","70,100 km","2,900,000"
Toyota,Ractis,spors push start,2010,2015,Used,Automatic,,Octane,"1,500 cc","53,000 km","1,450,000"
Kia,Optima,Octane Drive,2014,2014,Used,Automatic,Saloon,Octane,"2,000 cc","16,500 km","2,600,000"
Audi,A8,HYBRID,2013,2013,Used,Automatic,Saloon,"Hybrid, Octane","2,000 cc","34,000 km","6,000,000"
Honda,Vezel,RS Packege,2018,2022,Used,Automatic,SUV / 4x4,"Hybrid, Octane","1,500 cc","47,048 km","3,190,000"
Toyota,Hiace,GL DUAL A/C,2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","6,500 km","2,860,000"
Toyota,Mark X,Octane Drive,2010,2018,Used,Automatic,Saloon,Octane,"2,500 cc","44,000 km","3,200,000"
Hyundai,Sonata,,2017,2018,Used,Automatic,Saloon,Octane,"2,400 cc","17,800 km","3,620,000"
Toyota,Land Cruiser,V8 ZX Octane,2010,2011,Used,Automatic,SUV / 4x4,Octane,"4,600 cc","46,400 km","12,690,000"
Mazda,Axela,,2013,2016,Used,Automatic,Saloon,Octane,"1,500 cc","38,000 km","1,960,000"
Audi,A6,Sun roof,2013,2013,Used,Automatic,Saloon,Octane,"2,000 cc","16,300 km","5,500,000"
Toyota,Noah,X,2002,2008,Used,Automatic,MPV,"CNG, Octane","1,998 cc",1 km,"1,085,000"
Nissan,X-Trail,Model-,2014,2016,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","65,100 km","3,180,000"
Toyota,Noah,NEW SHAP-X,2018,,Reconditioned,Automatic,,Hybrid,"1,800 cc","33,562 km","3,350,000"
Toyota,Prado,TX Ltd Sunroof,2015,2016,Used,Automatic,SUV / 4x4,Octane,"2,700 cc","31,000 km","10,800,000"
Toyota,Premio,G Superior,2012,2017,Used,Automatic,Saloon,"Octane, LPG","1,500 cc","71,000 km","2,460,000"
Toyota,Land Cruiser,Prado TXL,2020,2021,Used,Automatic,SUV / 4x4,Octane,"2,700 cc","11,500 km","17,700,000"
Toyota,Allion,,2014,2019,Used,Automatic,Saloon,"Octane, LPG","1,500 cc","49,000 km","2,440,000"
Toyota,Axio,Limited,2014,2018,Used,Automatic,Saloon,Octane,"1,500 cc","56,000 km","1,880,000"
Toyota,Axio,X Hybrid,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,500 cc","47,366 km","2,250,000"
Toyota,Hiace,SUPER GL*SILVER*রেডি,2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","65,105 km","3,550,000"
Nissan,Bluebird,Sylphy Octane Use,2005,2009,Used,Automatic,Saloon,Octane,"1,500 cc","73,000 km","1,125,000"
Toyota,Hiace,Super GL,2018,,Used,Automatic,MPV,"Petrol, Octane","2,000 cc","43,837 km","3,500,000"
Toyota,Axio,X HYBRID,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","123,128 km","2,390,000"
Toyota,C-HR,G LED HYBRID PACKAGE,2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","1,800 cc","24,000 km","3,525,000"
Toyota,Esquire,GI Premium,2016,2021,Used,Automatic,MPV,"Octane, LPG","2,000 cc","56,231 km","3,820,000"
Toyota,C-HR,G LED HYBRID PACKAGE,2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","1,800 cc","22,000 km","3,450,000"
Toyota,Vitz,,2011,2018,Used,Automatic,Hatchback,Octane,"1,300 cc","56,000 km","1,220,000"
JMC,Other model,Double cabin,2011,2014,Used,Manual,,Diesel,"2,700 cc","145,000 km","550,000"
Toyota,Corolla,G-WXB শো-রুমে রেডি,2020,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,800 cc","5,105 km","3,400,000"
Toyota,C-HR,G LED HYBRID PACKAGE,2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","1,800 cc","23,000 km","3,470,000"
Toyota,Premio,F EX - Package,2017,2020,Used,Automatic,Saloon,Octane,"1,500 cc","38,701 km","3,650,000"
Nissan,Bluebird,,2006,2009,Used,Automatic,Saloon,Octane,"1,500 cc","112,000 km","1,320,000"
Toyota,Hiace,Super Gl,2019,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","30,279 km","3,650,000"
Toyota,Axio,X Package,2019,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,500 cc","26,948 km","2,620,000"
Nissan,X-Trail,HARD JEEP HYBRID,2015,2019,Used,Automatic,SUV / 4x4,"Hybrid, Octane","2,000 cc","52,000 km","2,800,000"
Mitsubishi,Outlandar,Rockford / 7 Seat,2010,2016,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","63,157 km","2,150,000"
Toyota,C-HR,G LED AERO KIT PKG,2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","1,800 cc","21,000 km","3,650,000"
Toyota,Hiace,DX,2018,,Reconditioned,Automatic,MPV,"Petrol, Octane","2,000 cc","59,847 km","2,600,000"
Toyota,Axio,corolla axio x non h,2019,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","6,100 km","3,020,000"
Toyota,RAV4,family use,2005,2012,Used,Automatic,SUV / 4x4,Octane,"1,800 cc","56,000 km","1,660,000"
Toyota,Corolla,X,2003,2008,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","98,000 km","1,090,000"
Nissan,X-Trail,super fresh,2016,2021,Used,Automatic,SUV / 4x4,"Hybrid, Octane","2,000 cc","64,955 km","3,450,000"
Toyota,Prius,S PKG CRYSTAL WHITE,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","58,523 km","2,690,000"
Toyota,Hiace,GL Ready Stock,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Octane","2,000 cc","42,175 km","3,650,000"
Toyota,Aqua,Hybrid S,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,500 cc","61,589 km","1,849,000"
Toyota,Corolla,Blue,2004,2008,Used,Automatic,Saloon,CNG,"1,500 cc","50,000 km","1,150,000"
Nissan,X-Trail,20X BAYSIDE BLUE 2WD,2018,,Reconditioned,Automatic,SUV / 4x4,Hybrid,"2,000 cc","44,874 km","4,250,000"
Toyota,C-HR,G LED AERO KIT PKG,2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","1,800 cc","23,000 km","3,550,000"
Toyota,Axio,Hybrid x,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,500 cc","65,890 km","2,199,000"
Toyota,Ractis,Model-,2005,2009,Used,Automatic,Hatchback,Octane,"1,300 cc","72,300 km","860,000"
Nissan,X-Trail,20X PEARL HYB 2WD,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","2,000 cc","42,060 km","4,330,000"
Honda,Grace,EX PKG hibrid,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,800 cc","31,000 km","3,000,000"
Toyota,Premio,F-EX Ready Stock,2020,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","5,537 km","4,750,000"
Toyota,Allion,,2007,2008,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","79,000 km","1,820,000"
Toyota,Noah,WINE,2018,,Reconditioned,Automatic,MPV,"Hybrid, Octane","1,800 cc","40,124 km","3,400,000"
Honda,Vezel,RS CRYSTAL BLACK HYB,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,500 cc","40,111 km","3,550,000"
Toyota,Allion,,2008,2013,Used,Automatic,Saloon,"Octane, LPG","1,500 cc","77,000 km","1,880,000"
Toyota,C-HR,"RED WINE ,TWO TONE",2018,,Reconditioned,Automatic,SUV / 4x4,"Hybrid, Octane","1,800 cc","25,742 km","3,350,000"
Toyota,Fielder,WXB Ready Stock,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Octane","1,500 cc","40,486 km","3,100,000"
Toyota,Aqua,G Push Super Fresh,2014,2019,Used,Automatic,Hatchback,Octane,"1,500 cc","48,000 km","1,350,000"
Nissan,X-Trail,,2010,2016,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","82,000 km","2,130,000"
Toyota,Fielder,G Push Octane drive,2008,2014,Used,Automatic,Estate,Octane,"1,500 cc","68,000 km","1,470,000"
Mercedes-Benz,E 250,Avantgarde,2010,2011,Used,Automatic,Saloon,Octane,"1,800 cc","60,000 km","4,600,000"
Toyota,Premio,G.Package.Silver.,2005,2009,Used,Automatic,Saloon,"Petrol, CNG, Octane","1,500 cc","83,000 km","1,400,000"
Toyota,Prius,S Safety Plus,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,800 cc","45,721 km","2,880,000"
Nissan,Juke,G EDITION,2010,2013,Used,Automatic,SUV / 4x4,Octane,"1,500 cc","65,400 km","1,545,000"
Toyota,C-HR,Hybrid G LED..,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,800 cc","38,000 km","3,500,000"
Toyota,Prius,S TOURING,2018,,Reconditioned,Automatic,Saloon,Hybrid,"1,800 cc","46,509 km","3,330,000"
Toyota,C-HR,G-LED HYBRID 2 TOWN,2018,,Reconditioned,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane","1,800 cc","58,000 km","3,580,000"
Toyota,Prado,Land Cruiser TX-L,2017,2023,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,700 cc","26,000 km","14,300,000"
Toyota,Sienta,G HYB BLACK METALIC,2018,,Reconditioned,Automatic,Estate,"Petrol, Hybrid, Octane","1,500 cc","62,116 km","2,770,000"
Toyota,Harrier,"Full.Option,Pkg,",2018,2022,Used,Automatic,SUV / 4x4,"Petrol, Octane","2,000 cc","37,049 km","7,300,000"
Toyota,Prius,PHV S SAFETY BLACK,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Electric","1,800 cc","57,759 km","4,050,000"
Toyota,Prado,LAND CRUISER,2003,2003,Used,Automatic,SUV / 4x4,Octane,"2,700 cc","67,303 km","2,170,000"
Honda,CR-V,EX MASTER PIECE,2018,,Reconditioned,Automatic,SUV / 4x4,Octane,"1,500 cc","18,000 km","6,250,000"
Toyota,Premio,F EX,2016,2020,Used,Automatic,Saloon,Octane,"1,500 cc","33,285 km","3,275,000"
Toyota,Corolla,x All power,2006,2008,Used,Automatic,Saloon,"CNG, Octane","1,500 cc","99,000 km","1,170,000"
Toyota,Prius,S SAFETY IVORY PEARL,2018,,Reconditioned,Automatic,Saloon,"Petrol, Hybrid, Octane","1,800 cc","62,811 km","2,900,000"
Hyundai,Tucson,1.6T,2021,2022,Used,Automatic,SUV / 4x4,Octane,"1,600 cc","7,892 km","5,350,000"
Toyota,Axio,X PACKAGE HYBRID,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,500 cc","29,000 km","2,490,000"
Toyota,Fielder,x,2006,2012,Used,Automatic,Estate,"CNG, Octane","1,500 cc","80,000 km","1,245,000"
Toyota,Succeed,UL,2003,2007,Used,Automatic,Estate,"CNG, Octane","1,500 cc","75,285 km","710,000"
Mitsubishi,l200,Sportero,2019,2020,Used,Manual,SUV / 4x4,Diesel,"2,500 cc","11,397 km","5,750,000"
Honda,Grace,EX Ready Stock,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","65,555 km","2,850,000"
Honda,CR-V,EX MASTER PIECE,2018,,Reconditioned,Automatic,SUV / 4x4,Octane,"1,500 cc","29,000 km","5,820,000"
Toyota,Noah,X Smart,2012,2018,Used,Automatic,MPV,"CNG, Octane","2,000 cc","56,285 km","2,350,000"
Toyota,Land Cruiser,PRADO TX,2005,2006,Used,Automatic,SUV / 4x4,Octane,"2,700 cc","65,231 km","4,050,000"
Toyota,Prius,S SAFETY ICE SILVER,2018,,Reconditioned,Automatic,Saloon,"Hybrid, Octane","1,800 cc","70,017 km","2,850,000"
Toyota,Premio,FL  শো-রুমে রেডি-,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","41,205 km","3,750,000"
Toyota,Sienta,G Hybrid,2018,,Reconditioned,Automatic,Hatchback,Hybrid,"1,500 cc","35,267 km","2,500,000"
Toyota,Fielder,G WXB MODELISTA PKG,2018,,Reconditioned,Automatic,,"Hybrid, Octane","1,500 cc","29,000 km","3,090,000"
BMW,X5,Xdrive 25d,2014,2015,Used,Automatic,SUV / 4x4,Octane,"1,995 cc","74,100 km","7,900,000"
Toyota,Axio,Fielder G. Limited,2010,2016,Used,Automatic,Estate,"CNG, Octane","1,500 cc","69,000 km","1,470,000"
Toyota,Axio,.,2011,2017,Used,Automatic,Saloon,Octane,"1,500 cc","60,500 km","1,625,000"
Toyota,Noah,NEW SHAP-X,2018,,Reconditioned,Automatic,,Hybrid,"1,800 cc","33,562 km","3,350,000"
Toyota,Fielder,G WXB NON-HYBRID PKG,2018,,Reconditioned,Automatic,,Octane,"1,500 cc","21,000 km","2,990,000"
Toyota,Harrier,Advance Premium,2015,2015,Used,Automatic,SUV / 4x4,Octane,"2,000 cc","50,000 km","5,000,000"
Toyota,Noah,G Hybrid Ready Stock,2018,,Reconditioned,Automatic,Hatchback,"Petrol, Hybrid, Octane","1,800 cc","60,552 km","3,350,000"
Honda,CR-V,EX MASTER PIECE,2018,,Reconditioned,Automatic,SUV / 4x4,Octane,"1,500 cc",500 km,"5,790,000"
Toyota,Premio,FEX - Ready Stock,2020,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","25,000 km","4,330,000"
Toyota,Premio,FEX SCARLET RED WINE,2018,,Reconditioned,Automatic,Saloon,"Petrol, Octane","1,500 cc","27,338 km","4,300,000"
